Price,Close,High,Low,Open,Volume
Ticker,CIEINDIA.NS,CIEINDIA.NS,CIEINDIA.NS,CIEINDIA.NS,CIEINDIA.NS
Date,,,,,
2021-02-08,164.89273071289062,168.33997140692028,155.65223203023208,156.17889583227634,568103
2021-02-09,158.81219482421875,168.53147579395844,157.99825855683602,166.04180042066986,134607
2021-02-10,158.907958984375,161.20612447652178,157.0407095672655,159.62613296105457,154490
2021-02-11,156.51402282714844,161.20610088833405,155.7001012061127,159.72187196478262,74044
2021-02-12,160.91883850097656,163.16910800620744,156.60979500139763,157.32796891799413,102892
2021-02-15,193.09300231933594,193.09300231933594,162.78607184653828,163.7436369750473,2963275
2021-02-16,192.0397186279297,224.93207702390944,185.38464289571468,198.5990319882276,9069325
2021-02-17,191.27365112304688,201.13657573024707,186.72521636542749,192.0397062150083,2460614
2021-02-18,187.5870361328125,197.78511532867364,184.04404745059765,193.4281902982139,929217
2021-02-19,182.17678833007812,193.42817998778335,175.9047330369299,187.10824351000468,856470
2021-02-22,171.69143676757812,186.67732573443774,168.62723116610377,180.02225076921573,881396
2021-02-23,171.6435546875,176.04836026179075,170.49447941938038,174.22897769359034,427279
2021-02-24,170.59022521972656,175.13865967134117,169.58479350366048,174.70775827712933,237937
2021-02-25,173.4629364013672,175.13867556189874,172.40962341009032,172.40962341009032,381379
2021-02-26,173.03204345703125,176.71867563558166,168.62725192859168,168.62725192859168,294018
2021-03-01,175.6653289794922,178.92105935141967,172.93627698899977,178.92105935141967,238108
2021-03-02,178.82530212402344,180.50104123361936,172.84051958975223,176.76654277674834,363483
2021-03-03,176.5271453857422,180.5489161877768,176.09622936911154,180.5010350068973,300076
2021-03-04,175.95262145996094,178.2507723039029,174.2768822079613,176.0962504084748,151730
2021-03-05,174.42050170898438,176.14412205422425,172.88840609977132,173.3193075332598,138595
2021-03-08,172.3138427734375,175.7132019180879,171.16476753601205,175.2344193515536,87228
2021-03-09,169.1060333251953,173.5108248212271,167.86119554605872,172.64902191867142,114850
2021-03-10,164.07879638671875,172.31384801482946,163.26486015433863,169.29752359842746,281599
2021-03-12,167.62179565429688,174.85141602943548,164.84484773343848,165.18000140689432,1059504
2021-03-15,167.1430206298828,172.31386723808194,165.27577127754904,170.44661788574817,370844
2021-03-16,167.1908721923828,168.9623588594244,166.23330709302502,168.05267493729127,101711
2021-03-17,163.83941650390625,170.49449192228482,163.26487152207085,168.0526976664131,251953
2021-03-18,159.14732360839844,166.52057227631028,157.28007450457363,164.74908553115733,264337
2021-03-19,155.12554931640625,157.66309103787083,148.42259348174673,157.13644191131777,255949
2021-03-22,155.17344665527344,158.76431622638611,153.44982633888222,153.44982633888222,175330
2021-03-23,165.7066650390625,167.47815193779863,156.51403303840064,158.95582728338448,670944
2021-03-24,158.66854858398438,165.56301500901122,158.09401823848185,165.56301500901122,202677
2021-03-25,154.7904052734375,158.95581964478782,153.21042857328948,157.99825446620477,180969
2021-03-26,157.7588653564453,161.54124494197558,155.17344226072117,157.99825665440653,239502
2021-03-30,155.98736572265625,158.9079425140347,153.25831366090426,157.9982584934507,219177
2021-03-31,154.4073944091797,157.9982640466025,152.3007538108155,154.6946669024307,220483
2021-04-01,160.1049041748047,161.63701439345363,154.6467852642075,154.6467852642075,124579
2021-04-05,155.84375,161.8285330261137,154.35952088726648,160.2964227269139,113246
2021-04-06,156.84918212890625,158.1897675596626,154.4073879552636,155.12556185272996,86285
2021-04-07,159.19522094726562,159.5303746253532,156.1310151054251,157.51948177939968,85328
2021-04-08,157.7588653564453,161.7327550580875,157.32796394237218,160.0091494017949,123962
2021-04-09,156.70555114746094,158.86007301261185,155.89162943184252,157.61524984622054,218384
2021-04-12,151.43893432617188,155.12556628296656,150.38562134657752,155.12556628296656,155218
2021-04-13,153.0189208984375,154.9819324680736,148.42260504573198,151.4868107437739,128706
